Country,ITL,sex,extract_date,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,Cornwall and Isles of Scilly,male,2023-11-01,2078,2345,2558,2579,2803,2801,3023,3104,3196,3243,3394,3535,3541,3424,3406,3459,3372,3271,3162,3131,3073,2998,3014,2955,3081,3113,3088,3225,3166,3226,3378,3539,3570,3689,3574,3730,3719,3492,3459,3475,3451,3481,3504,3814,3469,3256,3176,3270,3309,3543,3734,3976,4212,3989,4281,4112,4403,4484,4492,4684,4454,4364,4350,4228,4143,3974,4033,3904,3640,3585,3611,3484,3410,3499,3631,3682,4260,3447,2848,2873,2531,2116,1668,1710,1569,1350,1199,982,902,661,559,491,390,298,206,390
England,Cornwall and Isles of Scilly,persons,2023-11-01,4101,4632,4940,5053,5330,5516,5763,6036,6237,6353,6671,6923,6890,6705,6602,6636,6502,6468,6224,6260,6096,6026,5870,5944,6043,6170,6143,6302,6300,6492,6760,7121,7040,7398,7100,7564,7421,6961,7127,7028,6941,7040,7131,7461,7081,6542,6460,6646,6805,7271,7598,8190,8636,8314,8646,8565,9010,9254,9197,9497,9116,9048,8772,8632,8459,8215,8159,8015,7435,7580,7607,7219,7306,7264,7636,7757,8778,7262,5996,6213,5377,4690,3823,3673,3438,3115,2756,2442,2195,1726,1531,1315,1097,869,637,1492
England,Cumbria,female,2023-11-01,1808,1995,2164,2166,2302,2254,2478,2567,2462,2670,2666,2715,2799,2813,2723,2732,2729,2719,2494,2352,2213,2098,2293,2438,2536,2673,2700,2878,2758,2979,3110,3191,3247,3225,3221,3180,3131,3028,3120,3033,3077,2983,3075,3075,2828,2732,2659,2903,2856,3121,3241,3454,3893,3800,3997,3870,4105,4090,4186,4343,4152,4080,3989,3805,3780,3694,3532,3402,3175,3174,3172,3081,3196,3274,3180,3246,3630,2745,2481,2515,2269,1996,1825,1682,1698,1575,1485,1216,1086,925,809,666,596,450,353,878
England,Cumbria,male,2023-11-01,1830,2162,2178,2231,2385,2463,2535,2675,2708,2706,2804,2781,2899,2873,3032,3064,2902,2948,2673,2711,2570,2330,2365,2556,2614,2909,2808,2901,2969,3163,3043,3370,3411,3308,3184,3333,3191,3115,3278,3129,3165,3098,3086,3080,2985,2765,2752,2817,2963,3076,3268,3529,3748,3634,3988,3820,4008,4062,4271,4283,4155,4118,3958,3955,3916,3678,3540,3242,3144,3150,3081,2975,3019,2944,3048,3112,3511,2706,2254,2230,1963,1746,1521,1433,1359,1162,1017,865,736,531,491,460,306,236,144,330
England,Cumbria,persons,2023-11-01,3639,4157,4345,4398,4690,4715,5013,5245,5173,5376,5469,5495,5702,5687,5764,5798,5636,5688,5175,5067,4808,4429,4660,5017,5127,5570,5498,5802,5709,6141,6138,6542,6657,6531,6406,6514,6321,6147,6409,6164,6243,6075,6167,6156,5819,5498,5411,5726,5823,6196,6510,6986,7639,7414,7989,7680,8106,8152,8456,8627,8312,8197,7947,7759,7686,7387,7074,6652,6325,6324,6256,6044,6215,6223,6224,6364,7125,5466,4724,4746,4235,3735,3343,3114,3060,2736,2506,2075,1815,1463,1302,1125,900,686,499,1209
England,Derbyshire and Nottinghamshire,female,2023-11-01,9583,10641,11005,11167,11801,12026,12619,13239,13083,13407,13511,14085,14020,13846,13529,13702,13034,12830,13937,14592,15420,14798,15158,15297,15028,14860,15155,15045,15242,15865,16134,16824,16959,16796,16574,16521,16628,16122,16042,15525,15551,14995,15111,15431,14569,13842,12886,13498,13395,14196,14626,15374,16434,15854,16656,16558,16282,16434,16624,16599,15995,15586,14791,14223,14253,13207,12829,12414,11714,11966,11542,11310,11025,11253,11471,11820,13269,10608,9263,9693,8558,7514,6457,6204,6081,5588,5033,4405,4032,3394,2910,2464,2025,1631,1273,3337
England,Derbyshire and Nottinghamshire,male,2023-11-01,9762,11061,11525,11816,12296,12600,13279,13706,13973,13895,14059,14786,14788,14451,14250,14281,13737,13681,14258,14794,15311,15001,15174,15010,15087,15523,15643,15498,15985,16491,16748,17625,17897,17942,17513,17848,16928,16737,16840,16258,16495,15798,15860,16176,15389,14106,13892,14161,14417,14835,15130,16116,17188,16319,16904,16860,16899,16593,16739,16409,16243,15638,14973,14346,13704,13223,12519,11981,11276,11039,11112,10633,10704,10611,10689,10486,11887,9468,8009,8580,7174,6336,5034,4859,4617,4177,3505,3050,2519,2137,1681,1421,1134,797,576,1190
England,Derbyshire and Nottinghamshire,persons,2023-11-01,19348,21639,22543,22977,24097,24628,25899,26931,27071,27323,27560,28845,28808,28307,27789,27968,26766,26521,28198,29459,30737,29795,30340,30295,30113,30368,30760,30555,31242,32309,32867,34519,34859,34748,34085,34404,33549,32822,32900,31770,32038,30793,30960,31620,29969,27918,26765,27680,27865,29099,29726,31544,33587,32251,33551,33417,33178,33045,33342,33004,32278,31248,29754,28591,27911,26406,25349,24368,23025,23045,22656,21946,21715,21866,22145,22319,25160,20075,17271,18263,15714,13856,11507,11056,10674,9769,8539,7449,6569,5522,4592,3886,3159,2429,1850,4528
England,Devon,female,2023-11-01,4229,4736,5245,5261,5562,5775,6075,6346,6412,6626,6551,7033,7033,6961,6876,6871,6782,6649,7723,7961,8392,7781,7427,7461,7685,7293,7084,7467,7303,7430,7403,7835,8011,8099,7857,8147,7931,7928,7683,7672,7656,7501,7665,7820,7536,7016,6666,7031,7141,7383,7793,8250,8792,8711,9059,9079,9259,9561,9659,9648,9466,9410,9198,8867,8763,8475,8382,8070,7637,7841,7898,7656,7505,7564,7670,8173,9050,7545,6577,6604,5890,5306,4440,4324,4149,3814,3594,3109,2775,2461,2163,1840,1546,1301,1073,2708
England,Devon,male,2023-11-01,4375,5218,5446,5404,5957,6086,6325,6514,6738,6931,7112,7588,7455,7205,7246,7195,7109,6814,7612,7473,7868,7621,7425,7637,7749,7843,7959,7699,7480,7845,7745,7935,8014,8150,7792,8018,7757,7758,7604,7546,7378,7484,7546,7568,7464,6839,6595,6782,6910,7441,7648,7913,8439,8412,8874,8665,8927,8960,9298,9323,9200,8965,8603,8629,8392,8147,8005,7697,7208,7167,7306,6983,6931,6815,7426,7153,8323,6849,5760,5757,5233,4618,3529,3372,3170,2934,2589,2263,1888,1568,1356,1082,832,671,441,1013
